Arrival_Date,Commodity,Commodity_Code,District,Grade,Market,Max_Price,Min_Price,Modal_Price,State,Variety,d,market_clean
08/07/2024,Onion,23,Ahmednagar,FAQ,Ahmednagar,3100,700.0,2550.0,Maharashtra,Other,2024-07-08,AHMEDNAGAR
29/07/2024,Onion,23,Ahmednagar,FAQ,Ahmednagar,2900,700.0,2350.0,Maharashtra,Other,2024-07-29,AHMEDNAGAR
10/08/2024,Onion,23,Ahmednagar,FAQ,Ahmednagar,3500,1000.0,2750.0,Maharashtra,Other,2024-08-10,AHMEDNAGAR
17/08/2024,Onion,23,Ahmednagar,FAQ,Ahmednagar,3500,1000.0,2900.0,Maharashtra,Other,2024-08-17,AHMEDNAGAR
17/06/2024,Onion,23,Ahmednagar,FAQ,Ahmednagar,3100,300.0,2300.0,Maharashtra,Other,2024-06-17,AHMEDNAGAR
10/02/2020,Onion,23,Ahmednagar,FAQ,Ahmednagar,2600,300.0,2100.0,Maharashtra,Other,2020-02-10,AHMEDNAGAR
02/03/2020,Onion,23,Ahmednagar,FAQ,Ahmednagar,1800,300.0,1600.0,Maharashtra,Other,2020-03-02,AHMEDNAGAR
07/03/2020,Onion,23,Ahmednagar,FAQ,Ahmednagar,2000,300.0,1700.0,Maharashtra,Other,2020-03-07,AHMEDNAGAR
18/06/2020,Onion,23,Ahmednagar,FAQ,Ahmednagar,1000,200.0,800.0,Maharashtra,Other,2020-06-18,AHMEDNAGAR
29/06/2020,Onion,23,Ahmednagar,FAQ,Ahmednagar,1000,200.0,700.0,Maharashtra,Other,2020-06-29,AHMEDNAGAR
18/07/2020,Onion,23,Ahmednagar,FAQ,Ahmednagar,900,200.0,650.0,Maharashtra,Other,2020-07-18,AHMEDNAGAR
20/07/2020,Onion,23,Ahmednagar,FAQ,Ahmednagar,900,250.0,650.0,Maharashtra,Other,2020-07-20,AHMEDNAGAR
23/07/2020,Onion,23,Ahmednagar,FAQ,Ahmednagar,900,200.0,650.0,Maharashtra,Other,2020-07-23,AHMEDNAGAR
