mandi,date,price,price_source
KOPARGAON,2020-01-02,3001.0,Red
KOPARGAON,2020-01-03,3351.0,Red
KOPARGAON,2020-01-07,4101.0,Red
KOPARGAON,2020-01-09,3051.0,Red
KOPARGAON,2020-01-10,2311.0,Red
KOPARGAON,2020-01-14,3285.0,Red
KOPARGAON,2020-01-16,3300.0,Red
KOPARGAON,2020-01-17,3400.0,Red
KOPARGAON,2020-01-21,3351.0,Red
KOPARGAON,2020-01-24,2875.0,Red
KOPARGAON,2020-01-25,2555.0,Red
KOPARGAON,2020-01-28,2505.0,Red
KOPARGAON,2020-01-30,2500.0,Red
KOPARGAON,2020-01-31,2415.0,Red
KOPARGAON,2020-02-04,1651.0,Red
KOPARGAON,2020-02-06,1615.0,Red
KOPARGAON,2020-02-11,1950.0,Red
KOPARGAON,2020-02-13,1910.0,Red
KOPARGAON,2020-02-14,1851.0,Red
KOPARGAON,2020-02-15,1750.0,Red
KOPARGAON,2020-02-18,1925.0,Red
KOPARGAON,2020-02-20,1875.0,Red
KOPARGAON,2020-02-22,1750.0,Red
KOPARGAON,2020-02-25,1600.0,Red
KOPARGAON,2020-02-28,1825.0,Red
KOPARGAON,2020-02-29,1775.0,Red
KOPARGAON,2020-03-03,1501.0,Red
KOPARGAON,2020-03-05,1651.0,Red
KOPARGAON,2020-03-06,1675.0,Red
KOPARGAON,2020-03-07,1625.0,Red
KOPARGAON,2020-03-12,1525.0,Red
KOPARGAON,2020-03-13,1500.0,Red
KOPARGAON,2020-03-17,1211.0,Red
KOPARGAON,2020-03-18,1000.0,Other
KOPARGAON,2020-03-19,1200.0,Other
KOPARGAON,2020-03-20,1175.0,Other
KOPARGAON,2020-03-21,1075.0,Red
KOPARGAON,2020-03-30,1075.0,Other
KOPARGAON,2020-03-31,1300.0,Other
KOPARGAON,2020-04-01,1250.0,Other
KOPARGAON,2020-04-02,1275.0,Other
KOPARGAON,2020-05-07,655.0,Other
KOPARGAON,2020-05-19,525.0,Other
KOPARGAON,2020-05-21,520.0,Other
KOPARGAON,2020-05-23,550.0,Other
KOPARGAON,2020-05-26,651.0,Other
KOPARGAON,2020-05-27,625.0,Other
KOPARGAON,2020-05-28,650.0,Other
KOPARGAON,2020-05-29,475.0,Other
KOPARGAON,2020-05-30,631.0,Other
KOPARGAON,2020-06-02,650.0,Other
KOPARGAON,2020-06-04,721.0,Other
KOPARGAON,2020-06-06,750.0,Other
KOPARGAON,2020-06-09,775.0,Other
KOPARGAON,2020-06-11,670.0,Other
KOPARGAON,2020-06-12,750.0,Other
KOPARGAON,2020-06-13,775.0,Other
KOPARGAON,2020-06-16,740.0,Other
KOPARGAON,2020-06-18,752.0,Other
KOPARGAON,2020-06-19,650.0,Other
KOPARGAON,2020-06-23,675.0,Other
KOPARGAON,2020-06-24,650.0,Other
KOPARGAON,2020-06-25,675.0,Other
KOPARGAON,2020-06-26,650.0,Other
KOPARGAON,2020-06-27,700.0,Other
KOPARGAON,2020-06-30,650.0,Other
KOPARGAON,2020-07-09,650.0,Other
KOPARGAON,2020-07-10,675.0,Other
KOPARGAON,2020-07-11,680.0,Other
KOPARGAON,2020-07-14,650.0,Other
KOPARGAON,2020-07-16,655.0,Other
KOPARGAON,2020-07-17,652.0,Other
KOPARGAON,2020-07-18,650.0,Other
KOPARGAON,2020-07-21,626.0,Other
KOPARGAON,2020-07-22,600.0,Other
KOPARGAON,2020-07-23,626.0,Other
KOPARGAON,2020-07-24,590.0,Other
KOPARGAON,2020-07-25,600.0,Other
KOPARGAON,2020-07-28,670.0,Other
KOPARGAON,2020-07-29,651.0,Other
KOPARGAON,2020-07-30,625.0,Other
KOPARGAON,2020-07-31,650.0,Other
KOPARGAON,2020-08-04,570.0,Other
KOPARGAON,2020-08-05,571.0,Other
KOPARGAON,2020-08-06,612.0,Other
KOPARGAON,2020-08-07,665.0,Other
KOPARGAON,2020-08-08,660.0,Other
KOPARGAON,2020-08-11,825.0,Other
KOPARGAON,2020-08-12,905.0,Other
KOPARGAON,2020-08-13,1050.0,Other
KOPARGAON,2020-08-14,1100.0,Other
KOPARGAON,2020-08-15,3500.0,Other
KOPARGAON,2020-08-19,1825.0,Other
KOPARGAON,2020-08-20,1654.0,Other
KOPARGAON,2020-08-25,1375.0,Other
KOPARGAON,2020-08-27,1600.0,Other
KOPARGAON,2020-08-28,1625.0,Other
KOPARGAON,2020-09-01,1600.0,Other
KOPARGAON,2020-09-02,1760.0,Other
KOPARGAON,2020-09-03,1900.0,Other
KOPARGAON,2020-09-04,1950.0,Other
KOPARGAON,2020-09-05,1925.0,Other
KOPARGAON,2020-09-08,1931.0,Other
KOPARGAON,2020-09-09,2280.0,Other
KOPARGAON,2020-09-10,2400.0,Other
KOPARGAON,2020-09-11,2251.0,Other
KOPARGAON,2020-09-12,2351.0,Other
KOPARGAON,2020-09-15,2352.0,Other
KOPARGAON,2020-09-16,2300.0,Other
KOPARGAON,2020-09-17,2405.0,Other
KOPARGAON,2020-09-18,2536.0,Other
KOPARGAON,2020-09-19,2750.0,Other
KOPARGAON,2020-09-22,3576.0,Other
KOPARGAON,2020-09-23,3317.0,Other
KOPARGAON,2020-09-24,3275.0,Other
KOPARGAON,2020-09-25,3275.0,Other
KOPARGAON,2020-09-26,3185.0,Other
KOPARGAON,2020-09-29,3250.0,Other
KOPARGAON,2020-09-30,3309.0,Other
KOPARGAON,2020-10-01,3600.0,Other
KOPARGAON,2020-10-02,3450.0,Other
KOPARGAON,2020-10-03,3203.0,Other
KOPARGAON,2020-10-06,3101.0,Other
KOPARGAON,2020-10-07,3201.0,Other
KOPARGAON,2020-10-08,3201.0,Other
KOPARGAON,2020-10-09,3201.0,Other
KOPARGAON,2020-10-10,3325.0,Other
KOPARGAON,2020-10-13,3980.0,Other
KOPARGAON,2020-10-14,4335.0,Other
KOPARGAON,2020-10-27,1700.0,Other
KOPARGAON,2020-10-31,5500.0,Other
KOPARGAON,2020-11-03,5000.0,Other
KOPARGAON,2020-11-04,4250.0,Other
KOPARGAON,2020-11-05,4225.0,Other
KOPARGAON,2020-11-06,4250.0,Other
KOPARGAON,2020-11-07,4200.0,Other
KOPARGAON,2020-11-10,4100.0,Other
KOPARGAON,2020-11-19,3925.0,Other
KOPARGAON,2020-11-20,4395.0,Other
KOPARGAON,2020-11-21,3101.0,Red
KOPARGAON,2020-11-24,3425.0,Red
KOPARGAON,2020-11-25,3500.0,Other
